mese,anno,codice_ente,descrizione_ente,provincia_sede,regione_sede,attivazioni,cessazioni,RATA,aggregation_time,qualifica,3descrizione
11,2023,19,MINISTERO UNIVERSITA' E RICERCA,TO,1,250,40,202311,2025-06-18,Operatore,MINISTERO UNIVERSITA' E RICERCA
7,2023,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,BT,15,0,2,202307,2025-06-18,Operatore,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
8,2021,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,AQ,12,0,4,202308,2025-06-18,Operatore,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
4,2023,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,AQ,12,0,3,202304,2025-06-18,Dirigente,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
6,2023,22,AGENZIA DELLE ENTRATE,VR,4,0,1,202306,2025-06-18,Operatore,AGENZIA DELLE ENTRATE
11,2023,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,SA,14,0,9,202311,2025-06-18,Impiegato,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
2,2024,12,MINISTERO DELL'INTERNO,TR,9,1,2,202402,2025-06-18,Funzionario,MINISTERO DELL'INTERNO
6,2023,22,AGENZIA DELLE ENTRATE,RG,18,6,2,202306,2025-06-18,Unknown,AGENZIA DELLE ENTRATE
8,2023,954,ISPETTORATO NAZIONALE DEL LAVORO,BG,10,0,1,202311,2025-06-18,Unknown,ISPETTORATO NAZIONALE DEL LAVORO
2,2024,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,PN,5,0,2,202402,2025-06-18,Operatore,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
4,2023,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,PT,8,12,9,202304,2025-06-18,Unknown,MINISTERO DELL'ISTRUZIONE E DEL MERITO
1,2023,19,MINISTERO UNIVERSITA' E RICERCA,FE,7,15,8,202301,2025-06-18,Impiegato,MINISTERO UNIVERSITA' E RICERCA
1,2024,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,SI,8,9,6,202401,2025-06-18,Operatore,MINISTERO DELL'ISTRUZIONE E DEL MERITO
2,2023,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,TP,18,6,3,202402,2025-06-18,Unknown,MINISTERO DELL'ISTRUZIONE E DEL MERITO
12,2023,12,Unknown,Unknown,18,3,3,202312,2025-06-18,Unknown,MINISTERO DELL'INTERNO
6,2024,14,MINISTERO DELLA CULTURA,GO,5,6,0,202406,2025-06-18,Unknown,MINISTERO DELLA CULTURA
7,2024,22,AGENZIA DELLE ENTRATE,LE,15,0,1,202407,2025-06-18,Dirigente,AGENZIA DELLE ENTRATE
1,2023,19,MINISTERO UNIVERSITA' E RICERCA,CL,18,38,4,202301,2025-06-18,Funzionario,MINISTERO UNIVERSITA' E RICERCA
12,2024,9,MINISTERO DELLA GIUSTIZIA,VR,4,8,8,202412,2025-06-18,Unknown,MINISTERO DELLA GIUSTIZIA
7,2023,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,MS,8,0,1,202309,2025-06-18,Operatore,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
4,2024,14,MINISTERO DELLA CULTURA,RE,7,4,0,202404,2025-06-18,Funzionario,MINISTERO DELLA CULTURA
5,2023,9,MINISTERO DELLA GIUSTIZIA,SS,19,16,5,202305,2025-06-18,Dirigente,MINISTERO DELLA GIUSTIZIA
7,2024,954,Unknown,SA,14,3,0,202407,2025-06-18,Unknown,ISPETTORATO NAZIONALE DEL LAVORO
5,2023,9,MINISTERO DELLA GIUSTIZIA,VR,4,0,2,202305,2025-06-18,Operatore,MINISTERO DELLA GIUSTIZIA
12,2024,16,C.N.E.L.- CONSIGLIO NAZIONALE DELL'ECONOMIA E DEL LAVORO,RM,10,2,0,202412,2025-06-18,Funzionario,C.N.E.L.- CONSIGLIO NAZIONALE DELL'ECONOMIA E DEL LAVORO
4,2024,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,PU,10,0,2,202404,2025-06-18,Operatore,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
4,2023,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,LO,3,1,0,202304,2025-06-18,Unknown,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
8,2024,2,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,BO,7,2,2,202408,2025-06-18,Dirigente,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI
12,2023,12,MINISTERO DELL'INTERNO,RA,7,0,2,202312,2025-06-18,Operatore,MINISTERO DELL'INTERNO
4,2023,12,MINISTERO DELL'INTERNO,VR,4,5,1,202304,2025-06-18,Impiegato,MINISTERO DELL'INTERNO
10,2023,1,MINISTERO DELL'ECONOMIA E FINANZE,AN,10,1,0,202310,2025-06-18,Funzionario,MINISTERO DELL'ECONOMIA E FINANZE
7,2023,19,MINISTERO UNIVERSITA' E RICERCA,MS,8,10,6,202307,2025-06-18,Impiegato,MINISTERO UNIVERSITA' E RICERCA
8,2024,1,MINISTERO DELL'ECONOMIA E FINANZE,PE,12,2,1,202409,2025-06-18,Unknown,MINISTERO DELL'ECONOMIA E FINANZE
9,2024,12,MINISTERO DELL'INTERNO,MC,10,1,2,202409,2025-06-18,Unknown,MINISTERO DELL'INTERNO
7,2024,1,MINISTERO DELL'ECONOMIA E FINANZE,MT,16,1,0,202312,2025-06-18,Impiegato,MINISTERO DELL'ECONOMIA E FINANZE
1,2024,9,MINISTERO DELLA GIUSTIZIA,SA,14,12,7,202401,2025-06-18,Operatore,MINISTERO DELLA GIUSTIZIA
5,2024,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,AL,1,822,6,202405,2025-06-18,Operatore,MINISTERO DELL'ISTRUZIONE E DEL MERITO
1,2024,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,Unknown,18,0,1,202312,2025-06-18,Dirigente,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
2,2023,2,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,RO,4,0,4,202302,2025-06-18,Dirigente,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI
12,2023,14,MINISTERO DELLA CULTURA,TP,18,2,0,202312,2025-06-18,Operatore,MINISTERO DELLA CULTURA
1,2024,22,AGENZIA DELLE ENTRATE,RG,18,0,3,202312,2025-06-18,Operatore,AGENZIA DELLE ENTRATE
12,2022,954,ISPETTORATO NAZIONALE DEL LAVORO,RO,4,0,1,202412,2025-06-18,Dirigente,ISPETTORATO NAZIONALE DEL LAVORO
5,2023,21,Unknown,CL,18,1,0,202312,2025-06-18,Dirigente,AGENZIA DELLE DOGANE
4,2023,954,ISPETTORATO NAZIONALE DEL LAVORO,SI,8,0,1,202304,2025-06-18,Impiegato,ISPETTORATO NAZIONALE DEL LAVORO
11,2023,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,AN,10,0,6,202311,2025-06-18,Operatore,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
7,2024,21,AGENZIA DELLE DOGANE,TS,5,0,1,202402,2025-06-18,Unknown,AGENZIA DELLE DOGANE
9,2023,19,MINISTERO UNIVERSITA' E RICERCA,VB,1,658,4,202309,2025-06-18,Unknown,MINISTERO UNIVERSITA' E RICERCA
12,2024,12,MINISTERO DELL'INTERNO,VT,11,0,1,202412,2025-06-18,Unknown,MINISTERO DELL'INTERNO
