id,rata,ente,descrizione,cod_tipoimposta,tipo_imposta,cod_imposta,imposta,spesa,aggregation_time,area_geografica
65ee5ac5f458af56d2af532f,202402,867,AGENZIA ITALIANA DEL FARMACO - AIFA,2,Erariali,6,IRAP,182904.48,2024-11-03,Nord
668f34120377f62206882cd8,202406,921,A.O. S. GIOVANNI ADDOLORATA,3,Previdenziali,13,Previdenziali a carico del datore di lavoro,2110811.34,2024-11-07,Nord
66e0ee64f458af54a5dbc7fa,202408,9,MINISTERO DELLA GIUSTIZIA,4,Varie,10,Ritenute Sindacali,732614.36,2024-11-09,Nord
663ec5eb3f62190222cfb590,202404,12,MINISTERO DELL'INTERNO,2,Erariali,6,IRAP,43365008.73,2024-11-05,Nord
6731590c568f146446645d59,202410,910,AZIENDA SANITARIA LOCALE ROMA 6,2,Erariali,6,IRAP,1310915.22,2024-11-11,Isole
6667a4b8262bc331baee73e7,202405,805,AGENZIA NAZIONALE PER LA SICUREZZA DEL VOLO,4,Da definire,10,Ritenute Sindacali,256.53,2024-11-06,
66e0ee65f458af54a5dbc846,202408,802,ARAN,4,Varie,10,Ritenute Sindacali,129.79,2024-11-09,Nord
6667a4c1262bc331bdcd0c31,202405,976,ISTITUTO MUSICALE PAREGGIATO DELLA VALLE D'AOSTA,3,Previdenziali,13,Previdenziali a carico del datore di lavoro,35440.47,2024-11-06,Nord
6667a4b7262bc331baee7368,202405,925,AUTORITA' GARANTE PER L'INFANZIA E L'ADOLESCENZA AGIA,2,Erariali,6,IRAP,8811.11,2024-11-06,Isole
663ec5f43f62190222cfb6b2,202404,17,CONSIGLIO DI STATO E T.A.R.,3,Previdenziali,14,Previdenziali a carico del lavoratore,1082321.9,2024-11-05,Isole
671a7805568f1404768e2bad,202409,964,COMUNE DI CARAVAGGIO,3,Previdenziali,13,Previdenziali a carico del datore di lavoro,55228.21,2024-10-24,Sud
66e0ee64f458af54a5dbc7e9,202408,805,AGENZIA NAZIONALE PER LA SICUREZZA DEL VOLO,2,Erariali,6,IRAP,18179.48,2024-11-09,
6731590b5c833340b426ae8f,202410,7,MINISTERO DEGLI AFFARI ESTERI E DELLA COOPERAZIONE INTERNAZIONALE,3,Previdenziali,14,Previdenziali a carico del lavoratore,1372440.41,2024-11-11,Nord
671a780d568f1404768e2be2,202409,32,,3,Previdenziali,13,Previdenziali a carico del datore di lavoro,2192935.66,2024-10-24,Nord
6731590c568f146439948fc6,202410,831,COMUNE DI CORLETO MONFORTE,2,Erariali,8,Addizionali Comunali,42.36,2024-11-11,
661738e5262bc367a2350455,202403,13,MINISTERO DELLE IMPRESE E DEL MADE IN ITALY,1,Netto,15,Netto,7639226.66,2024-11-04,Nord
65c81f2b3f62191d310d649c,202401,945,ENTE PARCO NAZIONALE DEL GRAN SASSO E MONTI DELLA LAGA,2,Erariali,7,Addizionali Regionali,15.76,2024-11-02,Isole
668f34090377f62206882c42,202406,10,MINISTERO DELLA SALUTE,2,Erariali,5,IRPEF,1717613.32,2024-11-07,Nord
6667a4b8262bc331baee73b2,202405,976,ISTITUTO MUSICALE PAREGGIATO DELLA VALLE D'AOSTA,2,Erariali,7,,2358.89,2024-11-06,Isole
663ec5f53f62190222cfb761,202404,948,A.O.R.N. ANTONIO CARDARELLI,3,Previdenziali,13,,3887279.49,2024-11-05,
668f34089b1c1405cffd2d73,,32,ISTITUTO SUPERIORE DI SANITA',2,Erariali,5,IRPEF,2379279.23,2024-11-07,Centro
6731590b5c833340b426aedf,202410,960,AUTORITA' DI BACINO DISTR. DELL'APPENNINO SETTENTRIONALE,1,Netto,15,Netto,99991.98,2024-11-11,Nord
6667a4b8262bc331bdcd0bc9,202405,4056,AGENZIA PER L'ITALIA DIGITALE,2,Erariali,6,IRAP,40172.71,2024-11-06,Centro
659f417c9b1c1468e2e39a43,202312,,AGENZIA ITALIANA DEL FARMACO - AIFA,2,Erariali,6,IRAP,594040.74,2024-11-01,Nord
661738e4262bc367a2350409,202403,,IPAB ISTITUTO DI BENEFICENZA E SCOLASTICO SAC. M. SCRIFFIGNANO SISCARO,2,Erariali,7,Addizionali Regionali,32.88,2024-11-04,Isole
668f34079b1c1405cffd2c96,202406,4,,4,Varie,9,Riscatti,9518447.34,2024-11-07,
66bf60490377f64b681b515f,202407,28,CONSIGLIO PER RIC. IN AGRICOLTURA E ANALISI ECONOMIA AGRARIA,2,Erariali,6,IRAP,495640.74,2024-08-16,
668f34079b1c1405cffd2ce2,,945,ENTE PARCO NAZIONALE DEL GRAN SASSO E MONTI DELLA LAGA,3,Previdenziali,13,Previdenziali a carico del datore di lavoro,17410.56,2024-11-07,Isole
6731590c568f146444a34e41,202410,954,,1,Netto,15,Netto,10455819.51,2024-11-11,Nord
66bf604b0377f64bd0cd25db,202407,930,AZIENDA SANITARIA LOCALE LATINA,2,Erariali,6,IRAP,1052848.75,2024-08-16,Sud
661738e49b1c14196e7da353,202403,843,ANVUR(AGENZIA NAZ.VALUTAZIONE SIST.UNIVERSITARIO E RICERCA),2,Erariali,5,IRPEF,64367.77,2024-11-04,
663ec5f43f62190222cfb6da,202404,,,2,Erariali,5,IRPEF,1612476.75,2024-11-05,Isole
671a780d568f1404768e2bd7,202409,963,AUTORITA' DI BACINO DISTRETTUALE DELL'APPENNINO MERIDIONALE,2,Erariali,6,IRAP,29953.74,2024-10-24,
6667a4b8262bc331baee73c8,202405,958,AUTORITA' DI BACINO DISTRETTUALE DELL'APPENNINO CENTRALE,2,Erariali,8,Addizionali Comunali,2357.9,2024-06-11,Centro
663ec5f33f62190222cfb66c,202404,28,CONSIGLIO PER RIC. IN AGRICOLTURA E ANALISI ECONOMIA AGRARIA,4,Varie,12,Altre voci,26784.23,2024-11-05,Sud
