id,mese,anno,codice_ente,descrizione_ente,provincia_sede,regione_sede,attivazioni,cessazioni,rata,aggregation_time,qualifica,note,fonte_dato,provincia_sede.1,codice_ente.1,col_3descrizione,regione_sede.1,att_ivazioni
6852caf7205349164bebcd69,11.0,2023.0,19.0,MINISTERO UNIVERSITA' E RICERCA,TO,1.0,250.0,40.0,202311.0,2025-06-18T16:15:20.148346,Operatore,,,TO,19,MINISTERO UNIVERSITA' E RICERCA,1,250.0
6852caff6555da0907a40857,7.0,2023.0,2020.0,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,BT,15.0,0.0,2.0,202307.0,2025-06-18T16:15:20.148346,Operatore,,,BT,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,15,0.0
6852caef205349164bea2a6e,8.0,2021.0,2020.0,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,Aq,12.0,0.0,4.0,202308.0,2025-06-18T16:15:20.148346,Operatore,,,AQ,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,12,0.0
6852cb029952cb647ef389e4,4.0,2023.0,2020.0,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,AQ,12.0,0.0,3.0,202304.0,2025-06-18T16:15:20.148346,Dirigente,,,AQ,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,12,0.0
6852cae9205349164be90859,6.0,2023.0,22.0,AGENZIA DELLE ENTRATE,VR,4.0,0.0,1.0,202306.0,2025-06-18T16:15:20.148346,Operatore,,,VR,22,AGENZIA DELLE ENTRATE,4,0.0
6852caed205349164be9b770,11.0,2023.0,2020.0,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,SA,14.0,0.0,9.0,202311.0,2025-06-18T16:15:20.148346,Impiegato,,,SA,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,14,0.0
6852cae8205349164be8daf2,2.0,2024.0,12.0,MINISTERO DELL'INTERNO,TR,9.0,1.0,2.0,202402.0,2025-06-18T16:15:20.148346,Funzionario,,,TR,12,MINISTERO DELL'INTERNO,9,1.0
6852caef205349164bea272b,6.0,2023.0,22.0,AGENZIA DELLE ENTRATE,RG,18.0,6.0,2.0,202306.0,2025-06-18T16:15:20.148346,,,,RG,22,AGENZIA DELLE ENTRATE,18,6.0
6852caea205349164be90e4a,8.0,2023.0,954.0,ISPETTORATO NAZIONALE DEL LAVORO,BG,,0.0,1.0,202311.0,GIU 18 2025,,,,BG,954,ISPETTORATO NAZIONALE DEL LAVORO,3,0.0
6852caea205349164be9116a,2.0,2024.0,2020.0,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,PN,5.0,0.0,2.0,202402.0,2025-06-18T16:15:20.148346,Operatore,,,PN,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,5,0.0
6852caf7205349164bebd802,4.0,2023.0,4.0,MINISTERO DELL'ISTRUZIONE E DEL MERITO,PT,8.0,12.0,9.0,202304.0,2025-06-18T16:15:20.148346,,,,PT,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,8,12.0
6852caf5205349164beb4238,1.0,2023.0,19.0,MINISTERO UNIVERSITA' E RICERCA,FE,7.0,15.0,8.0,202301.0,2025-06-18T16:15:20.148346,Impiegato,,,FE,19,MINISTERO UNIVERSITA' E RICERCA,7,15.0
6852caef205349164bea04e9,1.0,2024.0,4.0,MINISTERO DELL'ISTRUZIONE E DEL MERITO,SI,8.0,9.0,6.0,202401.0,2025-06-18T16:15:20.148346,Operatore,,,SI,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,8,9.0
6852caef205349164bea1d12,2.0,2023.0,4.0,MINISTERO DELL'ISTRUZIONE E DEL MERITO,TP,18.0,6.0,3.0,202402.0,2025-06-18T16:15:20.148346,,,,TP,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,18,6.0
6852caef205349164bea3562,12.0,23.0,12.0, ,?,18.0,3.0,3.0,202312.0,2025-06-18T16:15:20.148346,,,,PA,12,MINISTERO DELL'INTERNO,18,3.0
6852caf5205349164beb48eb,6.0,2024.0,14.0,MINISTERO DELLA CULTURA,GO,5.0,6.0,0.0,202406.0,2025-06-18T16:15:20.148346,,,,GO,14,MINISTERO DELLA CULTURA,5,6.0
6852caf4205349164beb0959,7.0,2024.0,22.0,AGENZIA DELLE ENTRATE,LE,15.0,0.0,1.0,202407.0,GIU 18 2025,Dirigente,,,LE,22,AGENZIA DELLE ENTRATE,15,0.0
6852cb018d61d50c63e444ef,1.0,2023.0,19.0,MINISTERO UNIVERSITA' E RICERCA,CL,18.0,38.0,4.0,202301.0,2025-06-18T16:15:20.148346,Funzionario,,,CL,19,MINISTERO UNIVERSITA' E RICERCA,18,38.0
6852caed205349164be9a0dc,12.0,2024.0,9.0,MINISTERO DELLA GIUSTIZIA,VR,4.0,8.0,8.0,202412.0,2025-06-18T16:15:20.148346,,,,VR,9,MINISTERO DELLA GIUSTIZIA,4,8.0
6852caef205349164bea06aa,,2023.0,2020.0,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,MS,8.0,0.0,1.0,202309.0,2025-06-18T16:15:20.148346,Operatore,,,MS,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,8,0.0
6852caeb205349164be977f5,4.0,2024.0,14.0,MINISTERO DELLA CULTURA,RE,7.0,4.0,0.0,202404.0,2025-06-18T16:15:20.148346,Funzionario,,,RE,14,MINISTERO DELLA CULTURA,7,4.0
6852caeb205349164be94aa6,5.0,2023.0,9.0,MINISTERO DELLA GIUSTIZIA,SS,19.0,16.0,5.0,202305.0,2025-06-18T16:15:20.148346,Dirigente,,,SS,9,MINISTERO DELLA GIUSTIZIA,19,16.0
6852caee205349164be9fac5,7.0,2024.0,954.0,,SA,14.0,3.0,0.0,202407.0,2025-06-18T16:15:20.148346,,,,SA,954,ISPETTORATO NAZIONALE DEL LAVORO,14,3.0
6852caea205349164be91178,5.0,2023.0,9.0,MINISTERO DELLA GIUSTIZIA,VR,4.0,0.0,2.0,202305.0,2025-06-18T16:15:20.148346,Operatore,,,VR,9,MINISTERO DELLA GIUSTIZIA,4,0.0
6852cad98d61d50c63e436a3,12.0,2024.0,16.0,C.N.E.L.- CONSIGLIO NAZIONALE DELL'ECONOMIA E DEL LAVORO,RM,,2.0,0.0,202412.0,2025-06-18T16:15:20.148346,Funzionario,,,RM,16,C.N.E.L.- CONSIGLIO NAZIONALE DELL'ECONOMIA E DEL LAVORO,11,2.0
6852caf5205349164beb6833,4.0,2024.0,2020.0,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,PU,10.0,0.0,2.0,202404.0,2025-06-18T16:15:20.148346,Operatore,,,PU,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,10,0.0
6852caf2205349164bea941d,4.0,2023.0,2020.0,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,LO,3.0,1.0,0.0,202304.0,2025-06-18T16:15:20.148346,,,,LO,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,3,1.0
6852caf0205349164bea5a1c,8.0,2024.0,2.0,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,BO,7.0,2.0,2.0,202408.0,2025-06-18T16:15:20.148346,Dirigente,,,BO,2,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,7,2.0
6852caf0205349164bea4462,12.0,2023.0,12.0,MINISTERO DELL'INTERNO,RA,7.0,0.0,2.0,202312.0,2025-06-18T16:15:20.148346,Operatore,,,RA,12,MINISTERO DELL'INTERNO,7,0.0
6852cae9205349164be8ee48,4.0,2023.0,12.0,MINISTERO DELL'INTERNO,VR,4.0,5.0,1.0,202304.0,GIU 18 2025,Impiegato,,,VR,12,MINISTERO DELL'INTERNO,4,5.0
6852caf2205349164bea9d2f,10.0,2023.0,1.0,MINISTERO DELL'ECONOMIA E FINANZE,AN,10.0,1.0,0.0,202310.0,2025-06-18T16:15:20.148346,Funzionario,,,AN,1,MINISTERO DELL'ECONOMIA E FINANZE,10,1.0
6852caf0205349164bea5ebc,7.0,2023.0,19.0,MINISTERO UNIVERSITA' E RICERCA,MS,8.0,10.0,6.0,202307.0,2025-06-18T16:15:20.148346,Impiegato,,,MS,19,MINISTERO UNIVERSITA' E RICERCA,8,10.0
6852caf5205349164beb46cf,8.0,2024.0,1.0,MINISTERO DELL'ECONOMIA E FINANZE,PE,12.0,2.0,1.0,202409.0,2025-06-18T16:15:20.148346,,,,PE,1,MINISTERO DELL'ECONOMIA E FINANZE,12,2.0
6852caf0205349164bea5309,9.0,2024.0,12.0,MINISTERO DELL'INTERNO,MC,10.0,1.0,2.0,202409.0,2025-06-18T16:15:20.148346,,,,MC,12,MINISTERO DELL'INTERNO,10,1.0
6852caea205349164be941d7,7.0,2024.0,1.0,MINISTERO DELL'ECONOMIA E FINANZE,MT,16.0,1.0,0.0,,2025-06-18T16:15:20.148346,Impiegato,,,MT,1,MINISTERO DELL'ECONOMIA E FINANZE,16,1.0
6852caf4205349164beb0d71,1.0,2024.0,9.0,MINISTERO DELLA GIUSTIZIA,SA,14.0,12.0,7.0,202401.0,2025-06-18T16:15:20.148346,Operatore,,,SA,9,MINISTERO DELLA GIUSTIZIA,14,12.0
6852cae8205349164be8c293,5.0,2024.0,4.0,MINISTERO DELL'ISTRUZIONE E DEL MERITO,AL,1.0,822.0,6.0,202405.0,2025-06-18T16:15:20.148346,Operatore,,,AL,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,1,822.0
6852caf4205349164beb0f94,1.0,2024.0,2020.0,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,,18.0,0.0,1.0,,2025-06-18T16:15:20.148346,Dirigente,,,EN,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,18,0.0
6852caeb205349164be967b0,2.0,2023.0,2.0,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,RO,4.0,0.0,4.0,202302.0,2025-06-18T16:15:20.148346,Dirigente,,,RO,2,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,4,0.0
6852caf3205349164beb0124,12.0,2023.0,14.0,MINISTERO DELLA CULTURA,TP,18.0,2.0,0.0,,2025-06-18T16:15:20.148346,Operatore,,,TP,14,MINISTERO DELLA CULTURA,18,2.0
6852caf8205349164bec0830,1.0,2024.0,22.0,AGENZIA DELLE ENTRATE,RG,18.0,0.0,3.0,,2025-06-18T16:15:20.148346,Operatore,,,RG,22,AGENZIA DELLE ENTRATE,18,0.0
6852caf3205349164beae706,12.0,2022.0,954.0,ISPETTORATO NAZIONALE DEL LAVORO,RO,4.0,0.0,1.0,202412.0,2025-06-18T16:15:20.148346,Dirigente,,,RO,954,ISPETTORATO NAZIONALE DEL LAVORO,4,0.0
6852caf2205349164beabbc7,5.0,2023.0,21.0,?,CL,18.0,1.0,0.0,202312.0,2025-06-18T16:15:20.148346,Dirigente,,,CL,21,AGENZIA DELLE DOGANE,18,1.0
6852caee205349164be9fd19,4.0,2023.0,954.0,ISPETTORATO NAZIONALE DEL LAVORO,SI,8.0,0.0,1.0,202304.0,2025-06-18T16:15:20.148346,Impiegato,,,SI,954,ISPETTORATO NAZIONALE DEL LAVORO,8,0.0
6852caef205349164bea2f86,11.0,2023.0,2020.0,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,AN,10.0,0.0,6.0,202311.0,2025-06-18T16:15:20.148346,Operatore,,,AN,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,10,0.0
6852caf2205349164beab3f5,,2024.0,21.0,AGENZIA DELLE DOGANE,TS,5.0,0.0,1.0,202402.0,2025-06-18T16:15:20.148346,,,,TS,21,AGENZIA DELLE DOGANE,5,0.0
6852caf1205349164bea76a6,9.0,2023.0,19.0,MINISTERO UNIVERSITA' E RICERCA,VB,1.0,658.0,4.0,202309.0,2025-06-18T16:15:20.148346,,,,VB,19,MINISTERO UNIVERSITA' E RICERCA,1,658.0
6852caf0205349164bea50c3,12.0,2024.0,12.0,MINISTERO DELL'INTERNO,VT,11.0,0.0,1.0,202412.0,2025-06-18T16:15:20.148346,,,,VT,12,MINISTERO DELL'INTERNO,11,0.0
6852caea205349164be91fb1,12.0,2023.0,2020.0,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,RA,7.0,7.0,1.0,202312.0,2025-06-18T16:15:20.148346,Funzionario,,,RA,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,7,7.0
6852caf2205349164bea9fb5,8.0,2024.0,19.0,n.d.,VR,4.0,6.0,1037.0,202408.0,2025-06-18T16:15:20.148346,Operatore,,,VR,19,MINISTERO UNIVERSITA' E RICERCA,4,6.0
6852cafe79c2715845d9429b,3.0,2023.0,4.0,MINISTERO DELL'ISTRUZIONE E DEL MERITO,FR,11.0,9.0,12.0,202303.0,18/06/2025,,,,FR,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,11,9.0
6852caf8205349164bebf34b,12.0,2023.0,15.0,AVVOCATURA GENERALE DELLO STATO,FI,8.0,0.0,1.0,202312.0,2025-06-18T16:15:20.148346,Operatore,,,FI,15,AVVOCATURA GENERALE DELLO STATO,8,0.0
6852caf0205349164bea5b2f,6.0,,802.0,ARAN,RM,11.0,0.0,1.0,202410.0,2025-06-18T16:15:20.148346,Dirigente,,,RM,802,ARAN,11,0.0
6852caf3205349164beaf4b3,1.0,2023.0,21.0,AGENZIA DELLE DOGANE,NO,,1.0,,202301.0,GIU 18 2025,Impiegato,,,NO,21,AGENZIA DELLE DOGANE,1,1.0
6852cb018d61d50c63e4474b,11.0,2024.0,954.0,ISPETTORATO NAZIONALE DEL LAVORO,ce,14.0,0.0,1.0,202411.0,2025-06-18T16:15:20.148346,Funzionario,,,CE,954,ISPETTORATO NAZIONALE DEL LAVORO,14,0.0
6852caea205349164be925f4,8.0,2024.0,12.0,?,IS,13.0,0.0,1.0,202408.0,2025-06-18T16:15:20.148346,,,,IS,12,MINISTERO DELL'INTERNO,13,0.0
6852caec205349164be97e78,3.0,2023.0,,MINISTERO DEL LAVORO E DELLE POLITICHE SOCIALI,RM,11.0,12.0,9.0,202303.0,2025-06-18T16:15:20.148346,Dirigente,,,RM,8,MINISTERO DEL LAVORO E DELLE POLITICHE SOCIALI,11,12.0
6852caed205349164be9b364,6.0,2023.0,2020.0,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,AT,1.0,,0.0,202306.0,2025-06-18T16:15:20.148346,Impiegato,,,AT,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,1,
6852cae8205349164be8d5b3,10.0,2024.0,15.0,AVVOCATURA GENERALE DELLO STATO,TS,5.0,3.0,0.0,202410.0,2025-06-18T16:15:20.148346,Impiegato,,,TS,15,AVVOCATURA GENERALE DELLO STATO,5,3.0
6852caef205349164bea0b37,6.0,2024.0,12.0,MINISTERO DELL'INTERNO,VI,4.0,0.0,3.0,202406.0,2025-06-18T16:15:20.148346,Dirigente,,,VI,12,MINISTERO DELL'INTERNO,4,0.0
6852caeb205349164be97219,2.0,2023.0,22.0,AGENZIA DELLE ENTRATE,RN,7.0,0.0,1.0,202302.0,2025-06-18T16:15:20.148346,,,,RN,22,AGENZIA DELLE ENTRATE,7,0.0
6852caf4205349164beb090d,4.0,2024.0,4.0,,AT,1.0,0.0,513.0,202404.0,2025-06-18T16:15:20.148346,,,,AT,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,1,0.0
6852caf5205349164beb4f5e,2.0,2024.0,19.0,MINISTERO UNIVERSITA' E RICERCA,?,7.0,0.0,4.0,202402.0,2025-06-18T16:15:20.148346,Dirigente,,,PR,19,MINISTERO UNIVERSITA' E RICERCA,7,0.0
6852caf3205349164bead3d4,8.0,2023.0,12.0,MINISTERO DELL'INTERNO,CB,13.0,1.0,,202308.0,2025-06-18T16:15:20.148346,Dirigente,,,CB,12,MINISTERO DELL'INTERNO,13,1.0
6852caf5205349164beb67d9,1.0,2023.0,21.0,AGENZIA DELLE DOGANE,MO,7.0,0.0,1.0,202301.0,2025-06-18T16:15:20.148346,Impiegato,,,MO,21,AGENZIA DELLE DOGANE,7,0.0
6852caf7205349164bebe0e3,9.0,2024.0,2.0,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,BS,3.0,2.0,0.0,202409.0,2025-06-18T16:15:20.148346,,,,BS,2,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,3,2.0
6852cae9205349164be8ed77,6.0,2024.0,19.0,MINISTERO UNIVERSITA' E RICERCA,SU,19.0,2.0,742.0,202406.0,2025-06-18T16:15:20.148346,Operatore,,,SU,19,MINISTERO UNIVERSITA' E RICERCA,19,2.0
6852caf5205349164beb58e2,3.0,2024.0,,MINISTERO DELL'ECONOMIA E FINANZE,VV,17.0,0.0,1.0,202403.0,2025-06-18T16:15:20.148346,Impiegato,,,VV,1,MINISTERO DELL'ECONOMIA E FINANZE,17,0.0
6852cb02c1e0062992432fca,2.0,2024.0,9.0,MINISTERO DELLA GIUSTIZIA,TN,20.0,0.0,2.0,202402.0,2025-06-18T16:15:20.148346,Operatore,,,TN,9,MINISTERO DELLA GIUSTIZIA,20,0.0
6852caf5205349164beb721e,4.0,2024.0,9.0,,AP,10.0,0.0,1.0,202404.0,2025-06-18T16:15:20.148346,,,,AP,9,MINISTERO DELLA GIUSTIZIA,10,0.0
6852caf8205349164bebf31f,10.0,2023.0,22.0,AGENZIA DELLE ENTRATE,AG,18.0,0.0,1.0,,2025-06-18T16:15:20.148346,,,,AG,22,AGENZIA DELLE ENTRATE,18,0.0
6852caf2205349164beaba3d,2.0,2023.0,2.0,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,AQ,12.0,0.0,2.0,202301.0,2025-06-18T16:15:20.148346,,,,AQ,2,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,12,0.0
6852caf2205349164beaa7ac,2.0,2023.0,7.0,MINISTERO DEGLI AFFARI ESTERI E DELLA COOPERAZIONE INTERNAZIONALE,RM,11.0,5.0,14.0,202302.0,18/06/2025,Funzionario,,,RM,7,MINISTERO DEGLI AFFARI ESTERI E DELLA COOPERAZIONE INTERNAZIONALE,11,5.0
6852caf5205349164beb566a,12.0,2022.0,14.0,MINISTERO DELLA CULTURA,MN,3.0,12.0,0.0,202312.0,2025-06-18T16:15:20.148346,Operatore,,,MN,14,MINISTERO DELLA CULTURA,3,12.0
6852caea205349164be9239b,6.0,2023.0,9.0,MINISTERO DELLA GIUSTIZIA,PA,18.0,5.0,18.0,,2025-06-18T16:15:20.148346,Dirigente,,,PA,9,MINISTERO DELLA GIUSTIZIA,18,5.0
6852caf6205349164bebb3d8,6.0,2024.0,2020.0,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,BN,14.0,2.0,2.0,202406.0,2025-06-18T16:15:20.148346,Impiegato,,,BN,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,14,2.0
6852cae8205349164be8db27,4.0,2024.0,2020.0, ,SA,14.0,1.0,,,2025-06-18T16:15:20.148346,,,,SA,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,14,1.0
6852caeb205349164be95031,4.0,2024.0,19.0,MINISTERO UNIVERSITA' E RICERCA,SP,6.0,2.0,98.0,202404.0,2025-06-18T16:15:20.148346,Dirigente,,,SP,19,MINISTERO UNIVERSITA' E RICERCA,6,2.0
6852caee205349164be9e6aa,12.0,23.0,2020.0,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,CO,3.0,18.0,0.0,,2025-06-18T16:15:20.148346,,,,CO,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,3,18.0
6852caf4205349164beb07e2,,2024.0,22.0,AGENZIA DELLE ENTRATE,VT,11.0,3.0,0.0,202412.0,2025-06-18T16:15:20.148346,Impiegato,,,VT,22,AGENZIA DELLE ENTRATE,11,3.0
6852cae7205349164be8a530,12.0,2021.0,954.0,ISPETTORATO NAZIONALE DEL LAVORO,BA,15.0,,4.0,202312.0,2025-06-18T16:15:20.148346,Impiegato,,,BA,954,ISPETTORATO NAZIONALE DEL LAVORO,15,
6852caf0205349164bea5102,7.0,2024.0,2020.0,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,TV,4.0,0.0,2.0,202407.0,2025-06-18T16:15:20.148346,,,,TV,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,4,0.0
6852caf0205349164bea4a94,6.0,2024.0,19.0,MINISTERO UNIVERSITA' E RICERCA,//,18.0,171.0,1.0,202405.0,2025-06-18T16:15:20.148346,Funzionario,,,RG,19,MINISTERO UNIVERSITA' E RICERCA,18,171.0
6852caf5205349164beb6a27,6.0,2024.0,4.0,MINISTERO DELL'ISTRUZIONE E DEL MERITO,AQ,12.0,3.0,2529.0,202406.0,2025-06-18T16:15:20.148346,,,,AQ,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,12,3.0
6852cad979c2715845d93a29,8.0,2024.0,18.0,CORTE DEI CONTI,PA,18.0,2.0,1.0,202408.0,2025-06-18T16:15:20.148346,,,,PA,18,CORTE DEI CONTI,18,2.0
6852caf4205349164beb243f,9.0,2024.0,2.0,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,FI,8.0,2.0,0.0,202409.0,2025-06-18T16:15:20.148346,Impiegato,,,FI,2,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,8,2.0
