_id,mese,anno,codice_ente,descrizione_ente,provincia_sede,regione_sede,attivazioni,cessazioni,RATA,aggregation-time,qualifica,note,fonte_dato,Provincia Sede,CODICE ENTE,3descrizione,regione%sede,att ivazioni
6852caf7205349164bebcd69,11,2023,19,MINISTERO UNIVERSITA' E RICERCA,TO,01,250,40,202311,2025-06-18T16:15:20.148346,Operatore,,,TO,19,MINISTERO UNIVERSITA' E RICERCA,01,250
6852caff6555da0907a40857,7,2023,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,BT,15,0,2,202307,2025-06-18T16:15:20.148346,Operatore,,,BT,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,15,0
6852caef205349164bea2a6e,8,2021,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,Aq,12,0,4,202308,2025-06-18T16:15:20.148346,Operatore,,,AQ,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,12,0
6852cb029952cb647ef389e4,4,2023,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,AQ,12,0,3,202304,2025-06-18T16:15:20.148346,Dirigente,,,AQ,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,12,0
6852cae9205349164be90859,6,2023,22,AGENZIA DELLE ENTRATE,VR,04,0,1,202306,2025-06-18T16:15:20.148346,Operatore,,,VR,22,AGENZIA DELLE ENTRATE,04,0
6852caed205349164be9b770,11,2023,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,SA,14,0,9,202311,2025-06-18T16:15:20.148346,Impiegato,,,SA,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,14,0
6852cae8205349164be8daf2,2,2024,12,MINISTERO DELL'INTERNO,TR,09,1,2,202402,2025-06-18T16:15:20.148346,Funzionario,,,TR,12,MINISTERO DELL'INTERNO,09,1
6852caef205349164bea272b,6,2023,22,AGENZIA DELLE ENTRATE,RG,18,6,2,202306,2025-06-18T16:15:20.148346,,,,RG,22,AGENZIA DELLE ENTRATE,18,6
6852caea205349164be90e4a,8,2023,954,ISPETTORATO NAZIONALE DEL LAVORO,BG,null,0,1,202311,GIU 18 2025,,,,BG,954,ISPETTORATO NAZIONALE DEL LAVORO,03,0
6852caea205349164be9116a,2,2024,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,PN,05,0,2,202402,2025-06-18T16:15:20.148346,Operatore,,,PN,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,05,0
6852caf7205349164bebd802,4,2023,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,PT,08,12,9,202304,2025-06-18T16:15:20.148346,,,,PT,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,08,12
6852caf5205349164beb4238,1,2023,19,MINISTERO UNIVERSITA' E RICERCA,FE,07,15,8,202301,2025-06-18T16:15:20.148346,Impiegato,,,FE,19,MINISTERO UNIVERSITA' E RICERCA,07,15
6852caef205349164bea04e9,1,2024,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,SI,08,9,6,202401,2025-06-18T16:15:20.148346,Operatore,,,SI,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,08,9
6852caef205349164bea1d12,2,2023,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,TP,18,6,3,202402,2025-06-18T16:15:20.148346,,,,TP,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,18,6
6852caef205349164bea3562,12,23,12, ,?,18,3,3,202312,2025-06-18T16:15:20.148346,,,,PA,12,MINISTERO DELL'INTERNO,18,3
6852caf5205349164beb48eb,06,2024,14,MINISTERO DELLA CULTURA,GO,05,6,0,202406,2025-06-18T16:15:20.148346,,,,GO,14,MINISTERO DELLA CULTURA,05,6
6852caf4205349164beb0959,7,2024,22,AGENZIA DELLE ENTRATE,LE,15,0,1,202407,GIU 18 2025,Dirigente,,,LE,22,AGENZIA DELLE ENTRATE,15,0
6852cb018d61d50c63e444ef,1,2023,19,MINISTERO UNIVERSITA' E RICERCA,CL,18,38,4,202301,2025-06-18T16:15:20.148346,Funzionario,,,CL,19,MINISTERO UNIVERSITA' E RICERCA,18,38
6852caed205349164be9a0dc,12,2024,9,MINISTERO DELLA GIUSTIZIA,VR,04,8,8,202412,2025-06-18T16:15:20.148346,,,,VR,9,MINISTERO DELLA GIUSTIZIA,04,8
6852caef205349164bea06aa,Settembre,2023,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,MS,08,0,1,202309,2025-06-18T16:15:20.148346,Operatore,,,MS,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,08,0
6852caeb205349164be977f5,4,2024,14,MINISTERO DELLA CULTURA,RE,07,4,0,202404,2025-06-18T16:15:20.148346,Funzionario,,,RE,14,MINISTERO DELLA CULTURA,07,4
6852caeb205349164be94aa6,5,2023,9,MINISTERO DELLA GIUSTIZIA,SS,19,16,5,202305,2025-06-18T16:15:20.148346,Dirigente,,,SS,9,MINISTERO DELLA GIUSTIZIA,19,16
6852caee205349164be9fac5,7,2024,954,NULL,SA,14,3,0,202407,2025-06-18T16:15:20.148346,,,,SA,954,ISPETTORATO NAZIONALE DEL LAVORO,14,3
6852caea205349164be91178,5,2023,9,MINISTERO DELLA GIUSTIZIA,VR,04,0,2,202305,2025-06-18T16:15:20.148346,Operatore,,,VR,9,MINISTERO DELLA GIUSTIZIA,04,0
6852cad98d61d50c63e436a3,12,2024.,16,C.N.E.L.- CONSIGLIO NAZIONALE DELL'ECONOMIA E DEL LAVORO,RM,N/A,2,0,202412,2025-06-18T16:15:20.148346,Funzionario,,,RM,16,C.N.E.L.- CONSIGLIO NAZIONALE DELL'ECONOMIA E DEL LAVORO,11,2
6852caf5205349164beb6833,4,2024,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,PU,10,0,2,202404,2025-06-18T16:15:20.148346,Operatore,,,PU,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,10,0
