_id,rata,ente,descrizione,cod_tipoimposta,tipo_imposta,cod_imposta,imposta,spesa,aggregation-time,area_geografica,note,fonte_dato,Tipo Imposta,SPESA TOTALE,2cod_imposta,cod imposta ext,ente%code
65ee5ac5f458af56d2af532f,202402,867,AGENZIA ITALIANA DEL FARMACO - AIFA,2,Erariali,6,IRAP,182904.47999999954,2024-03-11T02:01:04.421,Nord,,,Erariali,182904.47999999954,6,6,867
668f34120377f62206882cd8,202406,921,A.O. S. GIOVANNI ADDOLORATA,3,Previdenziali,13,Previdenziali a carico del datore di lavoro,2110811.34,2024-07-11T03:01:16.866,Nord,,,Previdenziali,2110811.34,13,13,921
66e0ee64f458af54a5dbc7fa,202408,9,MINISTERO DELLA GIUSTIZIA,4,Varie,10,Ritenute Sindacali,732614.36,2024-09-11T03:01:11.704,Nord,,,Varie,732614.36,10,10,9
663ec5eb3f62190222cfb590,202404,12,MINISTERO DELL'INTERNO,2,Erariali,6,IRAP,43365008.73,2024-05-11T03:01:07.269,Nord,,,Erariali,43365008.73,6,6,12
6731590c568f146446645d59,202410,910,AZIENDA SANITARIA LOCALE ROMA 6,2,Erariali,6,IRAP,1310915.22,2024-11-11T02:00:28.485,Isole,,,Erariali,1310915.22,6,6,910
6667a4b8262bc331baee73e7,202405,805,AGENZIA NAZIONALE PER LA SICUREZZA DEL VOLO,4,Da definire,10,Ritenute Sindacali,256.53,2024-06-11T03:01:23.745,,,,Varie,256.53,10,10,805
66e0ee65f458af54a5dbc846,202408,802,ARAN,4,Varie,10,Ritenute Sindacali,129.79,2024-09-11T03:01:11.704,Nord,,,Varie,129.79,10,10,802
6667a4c1262bc331bdcd0c31,202405,976,ISTITUTO MUSICALE PAREGGIATO DELLA VALLE D'AOSTA,3,Previdenziali,13,Previdenziali a carico del datore di lavoro,35440.470000000045,2024-06-11T03:01:23.745,Nord,,,Previdenziali,35440.470000000045,13,13,976
6667a4b7262bc331baee7368,202405,925,AUTORITA' GARANTE PER L'INFANZIA E L'ADOLESCENZA AGIA,2,Erariali,6,IRAP,8811.109999999997,2024-06-11T03:01:23.745,Isole,,,Erariali,8811.109999999997,6,6,925
663ec5f43f62190222cfb6b2,202404,17,CONSIGLIO DI STATO E T.A.R.,3,Previdenziali,14,Previdenziali a carico del lavoratore,1082321.9,2024-05-11T03:01:07.269,Isole,,,Previdenziali,1082321.9,14,14,17
671a7805568f1404768e2bad,202409,964,COMUNE DI CARAVAGGIO,3,Previdenziali,13,Previdenziali a carico del datore di lavoro,55228.21000000009,2024-10-24T18:30:35.560,Sud,,,Previdenziali,55228.21000000009,13,13,964
66e0ee64f458af54a5dbc7e9,202408,805,AGENZIA NAZIONALE PER LA SICUREZZA DEL VOLO,2,Erariali,6,IRAP,18179.48,2024-09-11T03:01:11.704,,,,Erariali,18179.48,6,6,805
6731590b5c833340b426ae8f,202410,7,MINISTERO DEGLI AFFARI ESTERI E DELLA COOPERAZIONE INTERNAZIONALE,3,Previdenziali,14,Previdenziali a carico del lavoratore,1372440.41,2024-11-11T02:00:28.485,Nord,,,Previdenziali,1372440.41,14,14,7
671a780d568f1404768e2be2,202409,32,n.d.,3,Previdenziali,13,Previdenziali a carico del datore di lavoro,2192935.659999926,2024-10-24T18:30:35.560,Nord,,,Previdenziali,2192935.659999926,13,13,32
6731590c568f146439948fc6,202410,831,COMUNE DI CORLETO MONFORTE,2,Erariali,8,Addizionali Comunali,42.36,2024-11-11T02:00:28.485,,,,Erariali,42.36,8,8,831
661738e5262bc367a2350455,202403,13,MINISTERO DELLE IMPRESE E DEL MADE IN ITALY,1,Netto,15,Netto,7639226.66,2024/04/11,Nord,,,Netto,7639226.66,15,15,13
65c81f2b3f62191d310d649c,202401,945,ENTE PARCO NAZIONALE DEL GRAN SASSO E MONTI DELLA LAGA,2,Erariali,7,Addizionali Regionali,15.760000000000002,2024-02-11T02:01:21.381,Isole,,,Erariali,15.760000000000002,7,7,945
668f34090377f62206882c42,202406,10,MINISTERO DELLA SALUTE,2,Erariali,5,IRPEF,1717613.32,2024-07-11T03:01:16.866,Nord,,,Erariali,1717613.32,5,5,10
6667a4b8262bc331baee73b2,202405,976,ISTITUTO MUSICALE PAREGGIATO DELLA VALLE D'AOSTA,2,Erariali,7,-,2358.89,2024-06-11T03:01:23.745,Isole,,Sistema legacy,Erariali,2358.89,7,7,976
663ec5f53f62190222cfb761,202404,948,A.O.R.N. ANTONIO CARDARELLI,3,Previdenziali,13,//,3887279.49,2024-05-11T03:01:07.269,,,,Previdenziali,3887279.49,13,13,948
668f34089b1c1405cffd2d73,Rata 2024,32,ISTITUTO SUPERIORE DI SANITA',2,Erariali,5,IRPEF,2379279.230000006,2024-07-11T03:01:16.866,Centro,,,Erariali,2379279.230000006,5,5,32
